date,open,high,low,close,volume
1985-12-17,1.5170,1.5170,1.5015,1.5015,2113200
1985-12-18,1.5015,1.5170,1.4971,1.5059,3598800
1985-12-19,1.5059,1.5059,1.4971,1.4994,1790400
1985-12-20,1.4948,1.5059,1.4861,1.5059,2942400
1985-12-23,1.5036,1.5059,1.4926,1.4926,1700400
1985-12-24,1.4926,1.4994,1.4861,1.4882,2534400
1985-12-26,1.4882,1.4882,1.4771,1.4838,1102800
1985-12-27,1.4838,1.4971,1.4838,1.4926,699600
1985-12-30,1.4948,1.4971,1.4815,1.4971,1670400
1985-12-31,1.4971,1.5170,1.4926,1.5103,1815600
1986-01-02,1.5147,1.5147,1.4971,1.5059,2428800
1986-01-03,1.5015,1.5170,1.5015,1.5147,7296000
1986-01-06,1.4838,1.4948,1.4815,1.4838,7448400
1986-01-07,1.4838,1.5036,1.4838,1.5015,1326000
1986-01-08,1.5015,1.5036,1.4596,1.4640,2191200
1986-01-09,1.4464,1.4464,1.4132,1.4264,3076800
1986-01-10,1.4308,1.4375,1.4264,1.4308,2083200
1986-01-13,1.4352,1.4352,1.4220,1.4220,1779600
1986-01-14,1.4132,1.4176,1.4043,1.4043,2002800
1986-01-15,1.4043,1.4087,1.3955,1.4087,1922400
1986-01-16,1.4043,1.4199,1.3955,1.4153,4285200
1986-01-17,1.4199,1.4220,1.4087,1.4176,1046400
1986-01-20,1.4176,1.4176,1.4110,1.4176,1522800
1986-01-21,1.4132,1.4220,1.4087,1.4153,2696400
1986-01-22,1.4153,1.4285,1.4153,1.4241,2180400
1986-01-23,1.4199,1.4308,1.4176,1.4308,1371600
1986-01-24,1.4264,1.4418,1.4220,1.4418,2155200
1986-01-27,1.4441,1.4617,1.4396,1.4617,1345200
1986-01-28,1.4706,1.5191,1.4683,1.5126,1688400
1986-01-29,1.5170,1.5324,1.5103,1.5103,1870800
1986-01-30,1.5126,1.5126,1.4882,1.4948,849600
1986-01-31,1.4994,1.5126,1.4948,1.5080,3181200
1986-02-03,1.5080,1.5126,1.5036,1.5126,1492800
1986-02-04,1.5191,1.5191,1.5059,1.5147,1130400
1986-02-05,1.5126,1.5191,1.5103,1.5191,796800
1986-02-06,1.5191,1.5213,1.5059,1.5147,1093200
1986-02-07,1.5147,1.5147,1.5015,1.5059,1660800
1986-02-10,1.5059,1.5080,1.4948,1.5015,1972800
1986-02-11,1.4971,1.4994,1.4905,1.4971,1662000
1986-02-12,1.4948,1.5059,1.4948,1.5059,1324800
1986-02-13,1.5103,1.5170,1.5059,1.5126,1200000
1986-02-14,1.5170,1.5301,1.5147,1.5280,2337600
1986-02-18,1.5280,1.5610,1.5236,1.5589,2877600
1986-02-19,1.5545,1.5589,1.5258,1.5258,2749200
1986-02-20,1.5258,1.5391,1.5213,1.5391,1748400
1986-02-21,1.5412,1.5589,1.5412,1.5566,2598000
1986-02-24,1.5589,1.5656,1.5523,1.5656,2636400
1986-02-25,1.5677,1.5677,1.5391,1.5412,783600
1986-02-26,1.5456,1.5545,1.5391,1.5456,1402800
1986-02-27,1.5456,1.5545,1.5435,1.5500,2426400
1986-02-28,1.5523,1.5589,1.4882,1.5589,2862000
1986-03-03,1.5633,1.5677,1.5545,1.5633,1648800
1986-03-04,1.5656,1.5942,1.5656,1.5810,2960400
1986-03-05,1.5810,1.5898,1.5765,1.5898,1288800
1986-03-06,1.5854,1.6119,1.5854,1.6119,2942400
1986-03-07,1.6140,1.6472,1.6140,1.6472,2503200
1986-03-10,1.6516,1.6516,1.6340,1.6361,2020800
1986-03-11,1.6405,1.6605,1.6295,1.6560,2196000
1986-03-12,1.6560,1.6848,1.6516,1.6649,2054400
1986-03-13,1.6670,1.6737,1.6516,1.6583,2515200
1986-03-14,1.6605,1.6649,1.6295,1.6626,4342800
1986-03-17,1.6626,1.6626,1.6251,1.6384,2056800
1986-03-18,1.6361,1.6428,1.6318,1.6361,4132800
1986-03-19,1.6340,1.6361,1.6140,1.6163,2040000
1986-03-20,1.6140,1.6230,1.6075,1.6140,2007600
1986-03-21,1.6140,1.6186,1.6075,1.6075,2911200
